portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2008-05-21,2008-09-09,77,139.49,123.22,-11.663918560470291,14.028981389401904,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-09-10,2008-09-15,4,123.72,120.09,-2.934044616876815,4.75850582916964,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-09-16,2008-09-22,5,122.1,121.31,-0.6470106470106405,4.4963144963144925,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-09-23,2008-09-23,1,118.55,118.55,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-09-24,2008-10-10,13,118.93,88.5,-25.586479441688393,26.768721555647495,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-10-13,2008-10-15,3,101.35,90.02,-11.179082387765169,11.179082387765169,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-10-16,2008-10-28,9,93.77,93.76,-0.010664391596449723,15.038963667644975,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-10-29,2008-10-30,2,93.08,96.3,3.4593897722389335,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-10-31,2008-11-04,3,96.83,100.41,3.697201280594855,0.0,bear,APPLY_FAMA_FRENCH,True
GROWTH,2008-11-05,2008-11-05,1,96.19,96.19,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-11-06,2008-11-07,2,90.86,93.86,3.3017829627999116,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-11-10,2008-11-11,2,92.63,89.77,-3.0875526287379893,3.0875526287379893,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-11-12,2008-12-05,17,85.82,87.93,2.4586343509671567,17.24251398486344,bear,APPLY_FAMA_FRENCH,True
GROWTH,2008-12-08,2008-12-08,1,91.0,91.0,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-12-09,2009-01-30,36,89.5,82.83,-7.452513966480449,13.801219642666101,bear,APPLY_FAMA_FRENCH,False
GROWTH,2009-02-02,2009-02-23,15,82.58,74.65,-9.602809396948404,14.293915040183686,bull,APPLY_GROWTH,False
