decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2001-03-22,2001-03-21,307,297,1,2,1,1.0,0.35151070796494804,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-03-26,2001-03-23,309,299,2,1,2,0.4267104536723534,0.7626008594569301,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-03-27,2001-03-26,310,300,1,0,1,0.31784387203964726,0.35171134742208354,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-04-19,2001-04-18,326,316,2,0,2,1.0,0.8696288506263555,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-04-20,2001-04-19,327,317,2,0,1,0.9999999941510592,0.24746035648351555,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-05-16,2001-05-15,345,335,0,1,2,1.0,0.5002513638429443,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-05-17,2001-05-16,346,336,0,0,2,0.46329362358035,0.4086316514721185,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-09-18,2001-09-17,427,417,1,2,1,1.0,0.956953105567284,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-19,2001-09-18,428,418,1,2,1,1.0,0.213955228819346,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-09-21,2001-09-20,430,420,2,1,2,1.0,0.6310484634558385,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-24,2001-09-21,431,421,2,0,2,1.0,0.44567761398110695,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-09-25,2001-09-24,432,422,0,2,0,1.0,0.8292777865366673,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-26,2001-09-25,433,423,2,1,2,1.0,0.287480768933818,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-07-19,2002-07-18,637,627,1,0,1,1.0,0.6897589256056534,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-07-26,2002-07-25,642,632,2,1,2,1.0,0.23925439560972053,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-07-30,2002-07-29,644,634,1,0,1,1.0,0.9920553662062659,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-07-31,2002-07-30,645,635,1,0,1,1.0,0.3198734949878843,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-02,2002-08-01,647,637,1,0,1,1.0,0.5101593856008054,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-05,2002-08-02,648,638,1,0,1,1.0,0.4426977308966223,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-06,2002-08-05,649,639,1,0,1,1.0,0.7866590423337261,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-08,2002-08-07,651,641,2,2,1,0.456830192013144,0.27078912179828923,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-09,2002-08-08,652,642,1,2,1,0.4193961829538846,0.546534619889212,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-12,2002-08-09,653,643,0,1,0,0.5548030280106484,0.23045408527915964,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-15,2002-08-14,656,646,1,2,0,0.5366365163829115,0.8003947538466923,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-16,2002-08-15,657,647,2,1,0,0.12742965629747946,0.364939401728086,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-20,2002-08-19,659,649,1,0,1,0.32930661821082696,0.5260191151885689,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-21,2002-08-20,660,650,2,0,1,0.9911690684957655,0.34889654663839903,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-29,2002-08-28,666,656,2,2,0,0.5209325599164577,0.6386821695507563,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2002-08-30,2002-08-29,667,657,1,1,2,0.8646868388508756,0.4430282174945321,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2002-09-30,2002-09-27,687,677,1,2,0,0.4042585440221021,0.8642918911918108,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-10-01,2002-09-30,688,678,2,2,0,0.6754556857663113,0.6153244819548087,True,bear,bull,True,BULL_TO_BEAR,
2002-10-02,2002-10-01,689,679,1,2,0,0.004159159178962284,0.9372703889111204,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2002-10-04,2002-10-03,691,681,2,2,0,0.5759783532621987,0.5645417079896649,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2002-10-07,2002-10-04,692,682,2,2,1,0.6555548066935726,0.30875102668933285,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2002-10-08,2002-10-07,693,683,2,2,0,0.46412992834143957,0.5778755158280956,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2002-10-09,2002-10-08,694,684,0,2,1,0.9996221272261595,0.3846494411626484,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2002-10-16,2002-10-15,699,689,1,0,2,0.9378040903288043,0.9198000853916143,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-10-17,2002-10-16,700,690,1,0,2,0.9722394933757638,0.4499056075075376,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-12-27,2002-12-26,749,739,2,0,2,0.6216660561984094,0.5111627799229339,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-12-30,2002-12-27,750,740,2,2,0,0.7666022308382129,0.41228085484179794,False,neutral,bull,True,BULL_TO_NEUTRAL,
2003-01-22,2003-01-21,765,755,2,2,0,0.5658713804888735,0.5838909823550711,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2003-01-23,2003-01-22,766,756,0,0,2,0.2794248454115536,0.4016456268693235,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2003-01-31,2003-01-30,772,762,2,1,0,0.8466423030998491,0.5301569759268867,True,bull,neutral,True,NEUTRAL_TO_BULL,
2003-02-03,2003-01-31,773,763,1,0,2,1.0,0.37287148294805333,False,neutral,bull,True,BULL_TO_NEUTRAL,
2003-03-25,2003-03-24,808,798,1,2,0,0.995499661598519,0.8260661432294677,True,bull,neutral,True,NEUTRAL_TO_BULL,
2003-03-26,2003-03-25,809,799,0,1,2,0.9354318776549015,0.35793540834805554,False,neutral,bull,True,BULL_TO_NEUTRAL,
2004-12-03,2004-12-02,1236,1226,0,2,0,0.47433025553738495,0.529397378803864,True,bull,neutral,True,NEUTRAL_TO_BULL,
2004-12-06,2004-12-03,1237,1227,2,2,1,1.0,0.48794124011872686,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-02-03,2005-02-02,1278,1268,0,2,0,0.9645867165296341,0.5267362424469594,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-02-04,2005-02-03,1279,1269,0,2,0,0.8923005292232637,0.4706351386745705,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-02-07,2005-02-04,1280,1270,0,2,0,0.5117686261011732,0.5222959010370921,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-02-08,2005-02-07,1281,1271,0,0,2,0.5203683257087464,0.2993462969946194,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-05-31,2005-05-27,1358,1348,1,2,1,0.46415697399254807,0.5595437881160262,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-01,2005-05-31,1359,1349,0,2,1,1.0,0.44275204422992664,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-06-08,2005-06-07,1364,1354,0,2,1,1.0,0.5009357946675712,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-09,2005-06-08,1365,1355,0,1,2,1.0,0.4939495771740229,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-06-21,2005-06-20,1373,1363,0,1,2,1.0,0.5016955607204493,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-24,2005-06-23,1376,1366,0,2,1,0.9999999999998593,0.24415798543507047,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-06-28,2005-06-27,1378,1368,2,0,1,1.0,0.5010911533028778,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-29,2005-06-28,1379,1369,2,0,1,1.0,0.4212742682494193,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-07-14,2005-07-13,1389,1379,0,2,1,0.8312769837633479,0.5021944184574664,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-07-15,2005-07-14,1390,1380,0,1,0,0.427613351615011,0.4321874111137788,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-07-20,2005-07-19,1393,1383,1,2,1,0.45677257520298814,0.6397077828724858,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-07-21,2005-07-20,1394,1384,0,2,1,1.0,0.49488766745646345,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-07-27,2005-07-26,1398,1388,0,2,1,1.0,0.5044941217487641,True,bull,neutral,True,NEUTRAL_TO_BULL,
