date,decision,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,n_bars_window,n_obs,last_volatility,last_return,error
2018-07-13,neutral,1,1,0,0.9522428706811952,0.2034823526518807,2718,2708,10.609309000000014,0.9065953911724304,
2018-07-16,neutral,2,2,1,0.9590028836357796,0.13302484231934883,2718,2708,10.88074899999999,0.07874861295055677,
2018-07-17,neutral,2,2,1,0.9288020948879675,0.13604418039038718,2718,2708,9.894204999999953,-0.08941664580278265,
2018-07-18,neutral,2,2,1,0.871514271100743,0.14328040680119294,2718,2708,8.877363999999996,0.40452495167181657,
2018-07-19,neutral,0,2,1,0.7207404947849995,0.3226813833669809,2718,2708,5.3945159999999746,0.21036117944877347,
2018-07-20,neutral,2,1,0,1.0,0.339210788367282,2718,2708,2.6502289999999924,-0.3771436703906647,
2018-07-23,neutral,2,1,0,0.07797410965416021,0.3225947613617422,2718,2708,1.3262210000000079,-0.11428571428571184,
2018-07-24,bull,0,1,0,0.9657463609213635,0.543813396378192,2718,2708,1.1505010000000007,0.18592677345537106,
2018-07-25,bull,2,1,2,0.8738495926726315,0.5055628285187984,2718,2708,1.460796000000003,0.5032119914346984,
2018-07-26,neutral,0,1,0,0.6465534224037485,0.4139223948293237,2718,2708,1.8318810000000056,0.8522424629807099,
2018-07-27,neutral,0,1,0,0.18474605021746046,0.5288096082757089,2718,2708,2.326939999999997,-0.23590718636668284,
2018-07-30,neutral,0,1,0,0.37374471753293553,0.43477880197791685,2718,2708,2.137900999999992,-0.6776311145619959,
2018-07-31,neutral,1,2,1,0.5598765083686504,0.4779754587454969,2718,2708,1.9550839999999847,-0.5223509345462395,
2018-08-01,bull,0,1,0,0.6089012948210772,0.5084067235099777,2718,2708,1.9005599999999891,0.4929451687801377,
2018-08-02,bull,2,1,2,0.599211366257162,0.5378074908145234,2718,2708,1.9121599999999876,-0.1670635908008284,
2018-08-03,neutral,2,1,2,0.6630691011357172,0.498044052573941,2718,2708,1.8335289999999866,0.5447553941465402,
2018-08-06,bull,0,1,0,0.6844304171327397,0.5196007238639293,2718,2708,1.806089,0.42848542795426053,
2018-08-07,bull,0,1,0,0.43205115126192595,0.5287783516357386,2718,2708,2.096464999999991,0.36671368124117193,
