portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2007-07-27,2007-07-31,3,145.11,145.72,0.42037075322168366,1.1263400732799542,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-08-01,2007-08-03,3,146.43,143.8,-1.7960800382435262,2.574525745257441,neutral,NONE,False
FAMA_FRENCH,2007-08-06,2007-08-31,20,146.21,147.59,0.9438478900211992,5.866648868717894,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-09-04,2007-10-19,34,149.08,149.67,0.3957606654145257,4.351993865030677,neutral,NONE,False
FAMA_FRENCH,2007-10-22,2007-10-31,8,150.54,154.65,2.7301713830211334,0.6942191656393909,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-11-01,2007-11-07,5,151.03,147.91,-2.06581473879362,2.7355822976260913,neutral,NONE,False
FAMA_FRENCH,2007-11-08,2007-11-28,14,147.16,147.13,-0.02038597444957946,4.814964883846585,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-11-29,2007-12-05,5,147.18,148.81,1.1074874303573825,1.5471545809229,bull,APPLY_GROWTH,False
FAMA_FRENCH,2007-12-06,2007-12-31,17,150.94,146.21,-3.133695508148927,4.609416096791175,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-01-02,2008-01-08,5,144.93,138.91,-4.153729386600435,4.153729386600435,neutral,NONE,False
FAMA_FRENCH,2008-01-09,2008-02-20,29,140.37,135.92,-3.170193061195424,7.481067308372847,bear,APPLY_FAMA_FRENCH,True
GROWTH,2008-02-21,2008-03-06,11,134.79,131.06,-2.7672676014541064,5.276091355883211,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-03-07,2008-03-18,8,129.71,133.63,3.022126281705333,3.2428355957767594,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-03-19,2008-03-19,1,130.32,130.32,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-03-20,2008-03-31,7,132.08,131.97,-0.08328285887342038,2.4768261030774963,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-04-01,2008-04-01,1,136.61,136.61,0.0,0.0,neutral,NONE,False
FAMA_FRENCH,2008-04-02,2008-04-11,8,136.7,133.38,-2.4286759326993366,2.6707530647985966,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-04-14,2008-05-20,27,132.93,141.89,6.740389678778288,2.2175290390707536,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-05-21,2008-05-30,7,139.49,140.35,0.616531651014399,1.3404057056841838,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-06-02,2008-06-26,19,138.9,128.19,-7.710583153347737,8.943031680636457,neutral,NONE,False
FAMA_FRENCH,2008-06-27,2008-06-30,2,127.68,128.04,0.2819548872180335,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-07-01,2008-07-02,2,128.42,126.14,-1.7754243887244878,1.7754243887244878,neutral,NONE,False
FAMA_FRENCH,2008-07-03,2008-07-31,20,126.28,126.83,0.43554006968640885,4.850628930817611,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-08-01,2008-09-15,31,126.1,120.09,-4.76605868358445,8.12485655267386,neutral,NONE,False
FAMA_FRENCH,2008-09-16,2008-09-22,5,122.1,121.31,-0.6470106470106405,4.4963144963144925,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-09-23,2008-09-23,1,118.55,118.55,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-09-24,2008-10-10,13,118.93,88.5,-25.586479441688393,26.768721555647495,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-10-13,2008-10-15,3,101.35,90.02,-11.179082387765169,11.179082387765169,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-10-16,2008-10-28,9,93.77,93.76,-0.010664391596449723,15.038963667644975,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-10-29,2008-10-30,2,93.08,96.3,3.4593897722389335,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-10-31,2008-10-31,1,96.83,96.83,0.0,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-11-03,2008-11-05,3,97.11,96.19,-0.9473792606322744,4.202768648540981,neutral,NONE,True
FAMA_FRENCH,2008-11-06,2008-11-07,2,90.86,93.86,3.3017829627999116,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-11-10,2008-11-11,2,92.63,89.77,-3.0875526287379893,3.0875526287379893,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-11-12,2008-11-28,12,85.82,90.09,4.975530179445363,17.24251398486344,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-12-01,2008-12-01,1,82.11,82.11,0.0,0.0,neutral,NONE,True
FAMA_FRENCH,2008-12-02,2008-12-05,4,85.27,87.93,3.1195027559516957,2.3133302794319697,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-12-08,2008-12-08,1,91.0,91.0,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-12-09,2008-12-31,16,89.5,90.24,0.8268156424580949,6.8132346538963775,bear,APPLY_FAMA_FRENCH,False
GROWTH,2009-01-02,2009-01-07,4,92.96,90.67,-2.4634251290877716,2.9956135658500025,neutral,NONE,False
FAMA_FRENCH,2009-01-08,2009-01-30,16,91.042,82.83,-9.020012741372117,11.50238351530064,bear,APPLY_FAMA_FRENCH,False
GROWTH,2009-02-02,2009-02-23,15,82.58,74.65,-9.602809396948404,14.293915040183686,bull,APPLY_GROWTH,False
FAMA_FRENCH,2009-02-24,2009-03-02,5,77.48,70.6,-8.879710893133725,8.879710893133725,bear,APPLY_FAMA_FRENCH,True
GROWTH,2009-03-03,2009-03-05,3,70.07,68.8,-1.812473241044664,4.084762303081008,bull,APPLY_GROWTH,False
