date,position_open,entry_date,entry_price,spy_close,underlying_return_from_entry_pct,leveraged_return_from_entry_pct,equity,running_peak,drawdown_pct,exit_reason
2004-11-05,False,,,117.28,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-08,False,,,117.11,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-09,False,,,116.88,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-10,False,,,116.97,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-11,False,,,117.86,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-12,False,,,118.79,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-15,False,,,118.73,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-16,False,,,117.88,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-17,False,,,118.58,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-18,False,,,118.74,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-19,False,,,117.42,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-22,False,,,117.98,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-23,False,,,118.16,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-24,False,,,118.44,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-26,False,,,118.35,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-29,False,,,117.81,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-11-30,False,,,117.89,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-01,False,,,119.23,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-02,False,,,119.33,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-03,False,,,119.25,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-06,False,,,119.21,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-07,False,,,118.1,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-08,False,,,118.79,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-09,False,,,119.21,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-10,False,,,119.33,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-13,False,,,120.37,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-14,False,,,120.79,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-15,False,,,120.88,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-16,False,,,120.81,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-17,False,,,119.44,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-20,False,,,119.47,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-21,False,,,120.39,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-22,False,,,120.68,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-23,False,,,120.77,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-27,False,,,120.52,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-28,False,,,121.18,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-29,False,,,121.36,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-30,False,,,121.13,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2004-12-31,False,,,120.87,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-03,False,,,120.3,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-04,False,,,118.83,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-05,False,,,118.01,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-06,False,,,118.61,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-07,False,,,118.44,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-10,False,,,119.0,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-11,False,,,118.18,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-12,False,,,118.57,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-13,False,,,117.62,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-14,False,,,118.24,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-18,False,,,119.47,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-19,False,,,118.22,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-20,False,,,117.5,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-21,False,,,116.78,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-24,False,,,116.55,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-25,False,,,116.88,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-26,False,,,117.23,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-27,False,,,117.43,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-28,False,,,117.43,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-01-31,False,,,118.16,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-01,False,,,118.91,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-02,False,,,119.27,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-03,False,,,119.11,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-04,False,,,120.23,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-07,False,,,120.07,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-08,False,,,120.21,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-09,False,,,119.31,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-10,False,,,119.74,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-11,False,,,120.77,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-14,False,,,120.68,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-15,False,,,121.13,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-16,False,,,121.21,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-17,False,,,120.23,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-18,False,,,120.39,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-22,False,,,118.6,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-23,False,,,119.45,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-24,False,,,120.24,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-25,False,,,121.43,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-02-28,False,,,120.63,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-01,False,,,121.23,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-02,False,,,121.17,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-03,False,,,121.22,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-04,False,,,122.73,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-07,False,,,122.79,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-08,False,,,122.33,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-09,False,,,120.97,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-10,False,,,121.24,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-11,False,,,120.39,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-14,False,,,121.14,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-15,False,,,120.14,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-16,False,,,119.12,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-17,False,,,119.36,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-18,False,,,118.54,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-21,False,,,118.1,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-22,False,,,116.9,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-23,False,,,117.0,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-24,False,,,117.14,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-28,False,,,117.31,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-29,False,,,116.53,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-30,False,,,118.18,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-03-31,False,,,117.96,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-04-01,False,,,117.43,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-04-04,False,,,117.63,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-04-05,False,,,118.19,,,85.29777071235678,108.1156954487452,-21.105099164076314,
2005-04-06,False,,,118.6,,,85.29777071235678,108.1156954487452,-21.105099164076314,
