date,return_1d,volatility_10d,vol_threshold,decision
2017-11-01,0.15579357351508366,0.5686289999999947,1.2396625000000001,bull
2017-11-02,0.13221854948474893,0.616595999999997,1.2396625000000001,bull
2017-11-03,0.038836459668323386,0.6317159999999917,1.2100485000000025,bull
2017-11-06,0.3338638922318466,0.8930159999999884,1.1989985000000036,bull
2017-11-07,0.15476881408397528,1.151124000000002,1.1942824999999984,bull
2017-11-08,-0.06953834266950235,1.3045210000000087,1.1942824999999984,bear
2017-11-09,0.17010090076158724,1.0386490000000113,1.1896424999999924,bull
2017-11-10,-0.3627802863648635,0.5431840000000147,1.182790499999996,neutral
2017-11-13,-0.030987333927273084,0.5345960000000132,1.1656145000000033,neutral
2017-11-14,0.09299081715680929,0.35416000000001296,1.1392400000000003,bull
2017-11-15,-0.23226106143303757,0.26379600000000625,1.1261959999999998,neutral
2017-11-16,-0.5005238039809181,0.5222010000000086,1.113490000000007,neutral
2017-11-17,0.850101388238967,0.5037640000000055,1.1009840000000073,bull
2017-11-20,-0.29386745031319733,0.5110210000000056,1.0984624999999995,neutral
2017-11-21,0.1706352284185208,0.4653160000000035,1.0898809999999965,bull
2017-11-22,0.6542779713511412,0.7641640000000038,1.080048499999993,bull
2017-11-24,-0.08846494095927467,0.9121689999999987,1.0738479999999941,neutral
2017-11-27,0.23098244533416334,1.274176000000004,1.0738479999999941,neutral
2017-11-28,-0.049930864956212725,1.490316000000005,1.0738479999999941,bear
2017-11-29,1.0144871844137826,2.9531039999999997,1.0738479999999941,neutral
2017-11-30,-0.06086658804733329,3.7050839999999874,1.0738479999999941,bear
2017-12-01,0.875490084123182,4.70348899999997,1.0738479999999941,neutral
2017-12-04,-0.20753933813818776,5.494224999999955,1.080048499999993,bear
2017-12-05,-0.12100128563865734,4.905160999999957,1.0898809999999965,bear
2017-12-06,-0.3596577572499389,3.650875999999967,1.0984624999999995,bear
2017-12-07,0.018997682282765823,3.118200999999975,1.1009840000000073,neutral
2017-12-08,0.31530162589271543,2.3445559999999697,1.1009840000000073,neutral
2017-12-11,0.5453099556935652,1.983540999999978,1.1009840000000073,neutral
2017-12-12,0.30130691876012633,1.2819089999999993,1.1009840000000073,neutral
2017-12-13,0.17648605009198695,1.6560959999999938,1.1009840000000073,neutral
2017-12-14,-0.011245220781157778,1.644783999999993,1.1009840000000073,bear
2017-12-15,-0.4086223055295126,1.691128999999997,1.1009840000000073,bear
2017-12-18,0.3199578408491929,1.8434439999999932,1.1009840000000073,neutral
2017-12-19,0.6341225469963596,2.453255999999986,1.1009840000000073,neutral
2017-12-20,-0.3840417598806759,1.9430199999999906,1.1009840000000073,bear
2017-12-21,-0.052401092937097424,1.1285489999999938,1.113490000000007,bear
2017-12-22,0.20596936673782398,0.6023999999999908,1.113490000000007,bull
2017-12-26,-0.026160400627847066,0.4663999999999893,1.113490000000007,neutral
2017-12-27,-0.11962169638517932,0.4234559999999906,1.113490000000007,neutral
2017-12-28,0.04865451551330344,0.4218359999999894,1.113490000000007,bull
2017-12-29,0.205745922489904,0.45812399999999076,1.113490000000007,bull
2018-01-02,-0.37704856833538314,0.21716399999999875,1.113490000000007,neutral
2018-01-03,0.7157310949561448,0.3089199999999946,1.113490000000007,bull
2018-01-04,0.6325110689437234,1.067781000000013,1.113490000000007,bull
2018-01-05,0.4214885199837269,2.302989000000027,1.1261959999999998,neutral
2018-01-08,0.6663966716983919,4.4557800000000345,1.1279524999999961,neutral
2018-01-09,0.1828688464633165,6.4503440000000385,1.1279524999999961,neutral
2018-01-10,0.22634345794392685,8.108721000000045,1.1279524999999961,neutral
2018-01-11,-0.15298317185110216,8.263260000000034,1.1279524999999961,bear
2018-01-12,0.7296074711805048,8.949660000000016,1.1279524999999961,neutral
2018-01-16,0.6518904823989611,10.200885000000017,1.1279524999999961,neutral
2018-01-17,-0.3418249856073649,7.439844000000031,1.139836499999998,bear
2018-01-18,0.9531718236632076,7.140659999999992,1.1656145000000033,neutral
2018-01-19,-0.16809126998320062,6.276260999999984,1.182790499999996,bear
2018-01-22,0.45496883284374817,5.982340999999996,1.1896424999999924,neutral
2018-01-23,0.813095110730706,7.789063999999984,1.1942824999999984,neutral
2018-01-24,0.21224663058474752,8.899408999999997,1.2286125000000012,neutral
2018-01-25,-0.03882946803629272,8.807825000000001,1.2639550000000062,bear
2018-01-26,0.042375874002402905,6.799240999999995,1.2698085000000066,neutral
2018-01-29,1.157783268619828,7.9791289999999595,1.2698085000000066,neutral
2018-01-30,-0.6629911368553205,7.509984999999965,1.2698085000000066,bear
2018-01-31,-1.0257130813545088,4.770583999999989,1.2698085000000066,bear
2018-02-01,0.049687677455986075,3.935420999999998,1.2698085000000066,neutral
2018-02-02,-0.11351543100389969,2.737380999999992,1.2698085000000066,bear
2018-02-05,-2.17700120747212,7.458309000000019,1.2780425000000015,bear
2018-02-06,-4.182247231802498,38.19844499999998,1.293215000000004,bear
2018-02-07,1.9702193763497855,48.52674899999998,1.347511000000007,neutral
2018-02-08,-0.5424887600787648,57.67299599999991,1.4176950000000008,bear
2018-02-09,-3.750887286584234,87.70432899999989,1.4466224999999975,bear
2018-02-12,1.502154252222181,86.38512099999991,1.4567425000000038,neutral
2018-02-13,1.4684512428298184,73.0250489999999,1.4567425000000038,neutral
2018-02-14,0.24873746890782586,60.1680409999999,1.4567425000000038,neutral
2018-02-15,1.3496240601503666,42.07849599999994,1.4567425000000038,neutral
2018-02-16,1.2760117215030224,25.063140999999952,1.4567425000000038,neutral
2018-02-20,0.029300809434875633,21.567180999999984,1.4567425000000038,neutral
2018-02-21,-0.6261213430486018,22.461339999999975,1.4567425000000038,bear
2018-02-22,-0.4974207811348438,22.848475999999984,1.4567425000000038,bear
2018-02-23,0.12960562858728603,23.594584999999974,1.4567425000000038,neutral
2018-02-26,1.5939349112426047,15.09216099999998,1.4567425000000038,neutral
2018-02-27,1.1612245640857624,13.015920999999986,1.4567425000000038,neutral
2018-02-28,-1.2486505937387444,9.88441599999998,1.4567425000000038,bear
2018-03-01,-1.013008781838731,5.907380999999999,1.4721090000000006,bear
2018-03-02,-1.4540769372354092,7.376855999999989,1.4721090000000006,bear
2018-03-05,0.5155024280911451,8.313400999999995,1.4721090000000006,neutral
2018-03-06,1.1557900995986374,8.193248999999991,1.4721090000000006,neutral
2018-03-07,0.2534993938057966,8.227288999999988,1.4847024999999985,neutral
2018-03-08,-0.036646144825572685,7.7792959999999995,1.495586000000003,bear
2018-03-09,0.48390644475403255,7.552116000000005,1.5171285000000019,neutral
2018-03-12,1.7402407880335578,10.746996000000024,1.5450010000000007,neutral
2018-03-13,-0.1255065084089442,11.369600000000027,1.595854999999995,bear
2018-03-14,-0.6462731581214831,12.395749000000045,1.6399464999999922,bear
2018-03-15,-0.5131540907776871,12.281504000000044,1.6475964999999961,bear
2018-03-16,-0.10897203051217266,8.151164000000032,1.6532524999999967,bear
2018-03-19,-0.29090909090909506,4.915324000000014,1.6572199999999992,bear
2018-03-20,-1.3530269876002845,6.149864000000004,1.674736500000001,bear
2018-03-21,0.17006173980553052,7.259421000000013,1.6940250000000008,neutral
2018-03-22,-0.1919173279202738,8.655555999999997,1.6940250000000008,bear
2018-03-23,-2.4997226639056285,19.19298499999997,1.6940250000000008,bear
2018-03-26,-2.1314521940304183,35.49088099999995,1.6940250000000008,bear
2018-03-27,2.7359038945940717,32.39987599999998,1.6940250000000008,neutral
2018-03-28,-1.7011806419976578,34.09569999999992,1.6940250000000008,bear
2018-03-29,-0.29547198772065947,34.22410099999994,1.6940250000000008,bear
2018-04-02,1.2777585344263531,27.506335999999965,1.6940250000000008,neutral
2018-04-03,-2.1584647539425994,24.081704999999957,1.7041485000000085,bear
2018-04-04,1.281702722647281,19.919600999999965,1.7261660000000072,neutral
2018-04-05,1.0699083483529626,13.08902399999999,1.7619759999999989,neutral
2018-04-06,0.7891941113977782,7.330964999999971,1.7964279999999953,neutral
2018-04-09,-2.228580033127526,7.246039999999956,1.8105579999999986,bear
2018-04-10,0.49283844139841854,6.058664999999963,1.8273499999999978,neutral
2018-04-11,1.5900383141762366,6.086208999999938,1.8567124999999973,neutral
2018-04-12,-0.5242315670375208,6.296664999999942,1.8711425000000017,bear
2018-04-13,0.8227176220806854,6.992064999999944,1.8808724999999948,neutral
2018-04-16,-0.29331026961983586,7.566064999999935,1.9022549999999865,bear
2018-04-17,0.8221761267207268,5.775488999999962,1.9290444999999878,neutral
2018-04-18,1.0698387760445942,8.051360999999961,1.948980499999999,neutral
2018-04-19,0.07402198452940102,10.633783999999952,1.9652450000000066,neutral
2018-04-20,-0.5547542438699656,11.723508999999947,1.979544999999992,bear
2018-04-23,-0.8479303804529633,7.685279999999994,1.9840729999999844,bear
2018-04-24,-0.01500318817749539,4.417361000000004,1.9904324999999974,bear
2018-04-25,-1.3467381925948063,5.64275999999998,2.017712000000003,bear
2018-04-26,0.24716708494941717,5.722800999999976,2.017712000000003,neutral
2018-04-27,1.0165762621856416,5.672184999999978,2.017712000000003,neutral
2018-04-30,0.09387555855957343,5.38440399999997,2.017712000000003,neutral
2018-05-01,-0.7690576230492239,5.883543999999975,2.017712000000003,bear
2018-05-02,0.17768704396810225,4.652420999999971,2.017712000000003,neutral
2018-05-03,-0.6717488112310475,3.1978839999999904,2.017712000000003,bear
2018-05-04,-0.22036474164133135,2.3896810000000013,2.028518000000007,bear
2018-05-07,1.2946462569491954,2.207075999999992,2.0811725000000054,neutral
2018-05-08,0.3383204270355741,2.346341000000001,2.124576500000006,neutral
2018-05-09,0.0,2.3305810000000133,2.177330000000002,neutral
2018-05-10,0.966581747340021,3.62726400000001,2.2081859999999955,neutral
2018-05-11,0.9350649350649283,7.1965849999999865,2.2175300000000053,neutral
2018-05-14,0.30512462318948647,11.052984000000013,2.239100000000012,neutral
2018-05-15,0.04764522631482332,13.369529000000023,2.2540499999999986,neutral
2018-05-16,-0.6886951425012804,13.287521000000044,2.2654164999999873,bear
2018-05-17,0.42050903725562017,11.217361000000023,2.2774364999999976,neutral
2018-05-18,-0.08448427857773222,6.575884000000014,2.2836119999999944,bear
2018-05-21,-0.2499908091614304,4.614900999999988,2.2952545000000057,bear
2018-05-22,0.7518519883536728,3.3706959999999966,2.30836650000001,neutral
2018-05-23,-0.27801148626403444,1.1498890000000086,2.30836650000001,neutral
2018-05-24,0.27511830086937383,0.5600810000000077,2.30836650000001,bull
2018-05-25,-0.20485806262803713,0.5575850000000059,2.30836650000001,neutral
2018-05-29,-0.23826979472142013,0.5477850000000062,2.2952545000000057,neutral
2018-05-30,-1.1501010472166069,1.4958090000000168,2.2836119999999944,neutral
2018-05-31,1.3344732733625873,1.4295200000000228,2.2774364999999976,bull
2018-06-01,-0.6125967499358115,1.5582200000000228,2.2654164999999873,neutral
2018-06-04,0.9817671809256754,1.7825690000000294,2.240713999999998,bull
2018-06-05,0.47514619883039266,2.3234240000000135,2.240713999999998,neutral
2018-06-06,0.07275372862860877,2.881349000000023,2.240713999999998,neutral
2018-06-07,0.8360596146855522,4.8514760000000035,2.2676839999999947,neutral
2018-06-08,-0.010814708002874087,6.436629000000008,2.2836119999999944,bear
2018-06-11,0.29563399069834273,8.20077600000001,2.2952545000000057,neutral
2018-06-12,0.13300262410582858,9.362909000000002,2.30836650000001,neutral
2018-06-13,0.12923607122343972,6.800788999999989,2.318116499999996,neutral
2018-06-14,-0.3190879105119902,6.031148999999987,2.322956500000006,bear
2018-06-15,0.251771391576465,3.140279999999991,2.3237225,neutral
2018-06-18,-0.5740322175582185,1.8048810000000075,2.3237225,neutral
